gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
BRCA1,RPL27,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=BRCA1%0dRPL27&species=9606,not_applicable,True,1,Affinity Capture-MS,26831064,https://thebiogrid.org/search.php?search=BRCA1%20RPL27,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
KIF23,RPL35A,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KIF23%0dRPL35A&species=9606,not_applicable,True,1,Affinity Capture-MS,31586073,https://thebiogrid.org/search.php?search=KIF23%20RPL35A,bone marrow,expressed (nTPM=20.4),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
MAD2L2,RAD51C,True,True,True,0.737,textmining=0.684; experimental=0.181; coexpression=0.064,https://string-db.org/cgi/network?identifiers=MAD2L2%0dRAD51C&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=MAD2L2%20RAD51C,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ATR,ERCC4,True,True,True,0.745,textmining=0.505; curated_database=0.400; experimental=0.157; coexpression=0.101,https://string-db.org/cgi/network?identifiers=ATR%0dERCC4&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ATR%20ERCC4,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCB,SLX4,True,True,True,0.901,textmining=0.809; curated_database=0.500; coexpression=0.049,https://string-db.org/cgi/network?identifiers=FANCB%0dSLX4&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCB%20SLX4,bone marrow,expressed (nTPM=2.3),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
LIG4,TERT,True,True,True,0.481,textmining=0.481,https://string-db.org/cgi/network?identifiers=LIG4%0dTERT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=LIG4%20TERT,bone marrow,expressed (broadly_detected),not_detected,discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
RAD51,TERT,True,True,True,0.642,textmining=0.502; phylogenetic_cooccurrence=0.240; experimental=0.088; coexpression=0.084,https://string-db.org/cgi/network?identifiers=RAD51%0dTERT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RAD51%20TERT,bone marrow,inconclusive (Detected in many),not_detected,discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
RPL15,RPS15,True,True,True,0.999,experimental=0.993; coexpression=0.981; textmining=0.644,https://string-db.org/cgi/network?identifiers=RPL15%0dRPS15&species=9606,none,True,1,Co-fractionation,26344197,https://thebiogrid.org/search.php?search=RPL15%20RPS15,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
HYOU1,RPL5,True,True,True,0.582,textmining=0.438; experimental=0.229; coexpression=0.113,https://string-db.org/cgi/network?identifiers=HYOU1%0dRPL5&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=HYOU1%20RPL5,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CSF3R,MPL,True,True,True,0.59,textmining=0.581; coexpression=0.062,https://string-db.org/cgi/network?identifiers=CSF3R%0dMPL&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CSF3R%20MPL,bone marrow,expressed (nTPM=183.7),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
FANCA,RAD51,True,True,True,0.936,textmining=0.895; coexpression=0.330; experimental=0.162,https://string-db.org/cgi/network?identifiers=FANCA%0dRAD51&species=9606,none,True,1,Affinity Capture-Luminescence,28215707,https://thebiogrid.org/search.php?search=FANCA%20RAD51,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
CBL,KIT,True,True,True,0.957,experimental=0.744; textmining=0.690; curated_database=0.500,https://string-db.org/cgi/network?identifiers=CBL%0dKIT&species=9606,high,True,5,Affinity Capture-Western; Protein-peptide; Reconstituted Complex,15315962; 16780420; 25737303; 8950973,https://thebiogrid.org/search.php?search=CBL%20KIT,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
CBL,JAK2,True,True,True,0.79,curated_database=0.500; textmining=0.396; experimental=0.357; coexpression=0.049,https://string-db.org/cgi/network?identifiers=CBL%0dJAK2&species=9606,high,True,5,Affinity Capture-Western; Biochemical Activity; Co-localization; Reconstituted Complex,28676638,https://thebiogrid.org/search.php?search=CBL%20JAK2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
MECOM,RPS27A,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=MECOM%0dRPS27A&species=9606,not_applicable,True,1,Affinity Capture-MS,30462309,https://thebiogrid.org/search.php?search=MECOM%20RPS27A,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
NHP2,RPL26,True,True,True,0.706,coexpression=0.418; experimental=0.416; textmining=0.191; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=NHP2%0dRPL26&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20RPL26,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CSF3R,CXCR2,True,True,True,0.668,textmining=0.478; coexpression=0.391,https://string-db.org/cgi/network?identifiers=CSF3R%0dCXCR2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CSF3R%20CXCR2,bone marrow,expressed (nTPM=183.7),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
ANKRD26,TUBB1,True,True,True,0.463,textmining=0.402; experimental=0.127; coexpression=0.055,https://string-db.org/cgi/network?identifiers=ANKRD26%0dTUBB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ANKRD26%20TUBB1,bone marrow,expressed (broadly_detected),expressed (nTPM=8.0),discordant,Only StringDB reports evidence; the other source does not.
FANCB,FANCE,True,True,True,0.999,textmining=0.999; experimental=0.998; curated_database=0.900; coexpression=0.060,https://string-db.org/cgi/network?identifiers=FANCB%0dFANCE&species=9606,high,True,1,Affinity Capture-Western,27986371,https://thebiogrid.org/search.php?search=FANCB%20FANCE,bone marrow,expressed (nTPM=2.3),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
FANCE,RPL5,True,True,True,0.983,experimental=0.840; coexpression=0.830; textmining=0.383; neighborhood=0.115,https://string-db.org/cgi/network?identifiers=FANCE%0dRPL5&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCE%20RPL5,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL35,RPS10,True,True,True,0.999,experimental=0.988; coexpression=0.959; textmining=0.514,https://string-db.org/cgi/network?identifiers=RPL35%0dRPS10&species=9606,none,True,3,Affinity Capture-MS; Co-fractionation,26344197; 33961781; 35271311,https://thebiogrid.org/search.php?search=RPL35%20RPS10,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ETV6,TP53,True,True,True,0.597,textmining=0.597,https://string-db.org/cgi/network?identifiers=ETV6%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ETV6%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
NAF1,RTEL1,True,True,True,0.471,textmining=0.448; coexpression=0.081,https://string-db.org/cgi/network?identifiers=NAF1%0dRTEL1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NAF1%20RTEL1,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
NHP2,TERF2IP,True,True,True,0.731,curated_database=0.500; textmining=0.474; coexpression=0.062,https://string-db.org/cgi/network?identifiers=NHP2%0dTERF2IP&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20TERF2IP,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCC,FANCG,True,True,True,0.999,textmining=0.999; experimental=0.998; curated_database=0.900; coexpression=0.138,https://string-db.org/cgi/network?identifiers=FANCC%0dFANCG&species=9606,high,True,9,Affinity Capture-Western,10373536; 11438206; 11750104; 15299017; 15299030; 18550849; 23303816; 27986371,https://thebiogrid.org/search.php?search=FANCC%20FANCG,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
FANCA,RFWD3,True,True,True,0.701,textmining=0.644; coexpression=0.197,https://string-db.org/cgi/network?identifiers=FANCA%0dRFWD3&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCA%20RFWD3,bone marrow,inconclusive (Detected in many),expressed (nTPM=44.9),discordant,Only StringDB reports evidence; the other source does not.
RPL18,SRP72,True,True,True,0.889,experimental=0.875; textmining=0.137; coexpression=0.056,https://string-db.org/cgi/network?identifiers=RPL18%0dSRP72&species=9606,none,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RPL18%20SRP72,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ERCC4,FANCL,True,True,True,0.842,textmining=0.698; curated_database=0.500,https://string-db.org/cgi/network?identifiers=ERCC4%0dFANCL&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ERCC4%20FANCL,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL35A,RPL5,True,True,True,0.999,experimental=0.993; coexpression=0.981; textmining=0.906,https://string-db.org/cgi/network?identifiers=RPL35A%0dRPL5&species=9606,none,True,2,Affinity Capture-MS; Co-fractionation,26344197; 35271311,https://thebiogrid.org/search.php?search=RPL35A%20RPL5,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
FANCA,SBDS,True,True,True,0.486,textmining=0.486,https://string-db.org/cgi/network?identifiers=FANCA%0dSBDS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCA%20SBDS,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
EPO,KIT,True,True,True,0.736,textmining=0.736,https://string-db.org/cgi/network?identifiers=EPO%0dKIT&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EPO%20KIT,bone marrow,inconclusive (Detected in some),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
NHP2,TSR2,True,True,True,0.72,coexpression=0.647; textmining=0.239,https://string-db.org/cgi/network?identifiers=NHP2%0dTSR2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20TSR2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
EPO,JAK2,True,True,True,0.99,textmining=0.974; curated_database=0.650; experimental=0.046,https://string-db.org/cgi/network?identifiers=EPO%0dJAK2&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EPO%20JAK2,bone marrow,inconclusive (Detected in some),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
VPS13B,VPS45,True,True,True,0.527,textmining=0.500; experimental=0.085; coexpression=0.049,https://string-db.org/cgi/network?identifiers=VPS13B%0dVPS45&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=VPS13B%20VPS45,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
PALB2,XRCC2,True,True,True,0.856,textmining=0.717; curated_database=0.500; coexpression=0.062,https://string-db.org/cgi/network?identifiers=PALB2%0dXRCC2&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=PALB2%20XRCC2,bone marrow,expressed (broadly_detected),expressed (nTPM=5.5),discordant,Only StringDB reports evidence; the other source does not.
DNAJC21,TSR2,True,True,True,0.423,textmining=0.389; coexpression=0.094,https://string-db.org/cgi/network?identifiers=DNAJC21%0dTSR2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DNAJC21%20TSR2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RAD51C,RFWD3,True,True,True,0.616,textmining=0.601; coexpression=0.077,https://string-db.org/cgi/network?identifiers=RAD51C%0dRFWD3&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RAD51C%20RFWD3,bone marrow,expressed (broadly_detected),expressed (nTPM=44.9),discordant,Only StringDB reports evidence; the other source does not.
KRAS,YARS2,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KRAS%0dYARS2&species=9606,not_applicable,True,1,Negative Genetic,34373451,https://thebiogrid.org/search.php?search=KRAS%20YARS2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
IKZF1,RPL5,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=IKZF1%0dRPL5&species=9606,not_applicable,True,1,Affinity Capture-MS,35583604,https://thebiogrid.org/search.php?search=IKZF1%20RPL5,bone marrow,expressed (nTPM=160.4),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
MYSM1,TUBB1,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=MYSM1%0dTUBB1&species=9606,not_applicable,True,1,Affinity Capture-MS,17707232,https://thebiogrid.org/search.php?search=MYSM1%20TUBB1,bone marrow,expressed (broadly_detected),expressed (nTPM=8.0),discordant,Only BioGRID reports evidence; the other source does not.
RFWD3,RPS27A,True,True,True,0.508,experimental=0.422; textmining=0.184,https://string-db.org/cgi/network?identifiers=RFWD3%0dRPS27A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RFWD3%20RPS27A,bone marrow,expressed (nTPM=44.9),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
AP3B1,ATM,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=AP3B1%0dATM&species=9606,not_applicable,True,1,Protein-peptide,10608806,https://thebiogrid.org/search.php?search=AP3B1%20ATM,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
RPL26,RPS10,True,True,True,0.999,experimental=0.947; coexpression=0.938; textmining=0.748,https://string-db.org/cgi/network?identifiers=RPL26%0dRPS10&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPL26%20RPS10,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
IKZF1,KRAS,True,True,True,0.501,textmining=0.474; experimental=0.091,https://string-db.org/cgi/network?identifiers=IKZF1%0dKRAS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=IKZF1%20KRAS,bone marrow,expressed (nTPM=160.4),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CLPB,RAD51,True,True,True,0.558,textmining=0.541; coexpression=0.062; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=CLPB%0dRAD51&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CLPB%20RAD51,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
FANCL,TP53,True,True,True,0.577,textmining=0.577,https://string-db.org/cgi/network?identifiers=FANCL%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCL%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL18,RPL27,True,True,True,0.999,experimental=0.994; coexpression=0.982; textmining=0.779; neighborhood=0.061,https://string-db.org/cgi/network?identifiers=RPL18%0dRPL27&species=9606,none,True,2,Co-fractionation,22939629; 26344197,https://thebiogrid.org/search.php?search=RPL18%20RPL27,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
EFL1,RPL18,True,True,True,0.861,experimental=0.749; coexpression=0.314; textmining=0.259,https://string-db.org/cgi/network?identifiers=EFL1%0dRPL18&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EFL1%20RPL18,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ETV6,RUNX1,True,True,True,0.983,textmining=0.982; coexpression=0.101; experimental=0.060,https://string-db.org/cgi/network?identifiers=ETV6%0dRUNX1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ETV6%20RUNX1,bone marrow,expressed (broadly_detected),expressed (nTPM=42.9),discordant,Only StringDB reports evidence; the other source does not.
BLM,RPL31,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=BLM%0dRPL31&species=9606,not_applicable,True,1,Proximity Label-MS,34079125,https://thebiogrid.org/search.php?search=BLM%20RPL31,bone marrow,expressed (nTPM=5.3),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
BLM,BRCA2,True,True,True,0.935,curated_database=0.800; textmining=0.551; coexpression=0.342,https://string-db.org/cgi/network?identifiers=BLM%0dBRCA2&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BLM%20BRCA2,bone marrow,expressed (nTPM=5.3),expressed (nTPM=5.2),discordant,Only StringDB reports evidence; the other source does not.
ATM,CYCS,True,True,True,0.568,textmining=0.567; coexpression=0.042,https://string-db.org/cgi/network?identifiers=ATM%0dCYCS&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ATM%20CYCS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL31,RPS27,True,True,True,0.999,experimental=0.980; coexpression=0.968; textmining=0.730,https://string-db.org/cgi/network?identifiers=RPL31%0dRPS27&species=9606,none,True,1,Co-fractionation,26344197,https://thebiogrid.org/search.php?search=RPL31%20RPS27,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
ERCC6L2,RAD51,True,True,True,0.491,experimental=0.288; coexpression=0.191; textmining=0.187; neighborhood=0.042,https://string-db.org/cgi/network?identifiers=ERCC6L2%0dRAD51&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ERCC6L2%20RAD51,bone marrow,expressed (broadly_detected),inconclusive (Detected in many),discordant,Only StringDB reports evidence; the other source does not.
DKC1,KRAS,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=DKC1%0dKRAS&species=9606,not_applicable,True,1,Negative Genetic,34373451,https://thebiogrid.org/search.php?search=DKC1%20KRAS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
RPS19,RPS24,True,True,True,0.999,experimental=0.993; coexpression=0.991; textmining=0.974; curated_database=0.900,https://string-db.org/cgi/network?identifiers=RPS19%0dRPS24&species=9606,high,True,3,Affinity Capture-MS; Co-fractionation,22863883; 22939629; 33961781,https://thebiogrid.org/search.php?search=RPS19%20RPS24,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
NHP2,RPS10,True,True,True,0.779,experimental=0.460; coexpression=0.447; textmining=0.321,https://string-db.org/cgi/network?identifiers=NHP2%0dRPS10&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20RPS10,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DKC1,RPL5,True,True,True,0.707,textmining=0.488; coexpression=0.297; experimental=0.187; neighborhood=0.115,https://string-db.org/cgi/network?identifiers=DKC1%0dRPL5&species=9606,none,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=DKC1%20RPL5,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
EPO,MPL,True,True,True,0.941,textmining=0.839; curated_database=0.650,https://string-db.org/cgi/network?identifiers=EPO%0dMPL&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EPO%20MPL,bone marrow,inconclusive (Detected in some),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
DKC1,TERT,True,True,True,0.999,textmining=0.999; curated_database=0.900; experimental=0.672; coexpression=0.067,https://string-db.org/cgi/network?identifiers=DKC1%0dTERT&species=9606,high,True,1,Affinity Capture-Western,18358808,https://thebiogrid.org/search.php?search=DKC1%20TERT,bone marrow,expressed (broadly_detected),not_detected,concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
CBL,EPO,True,True,True,0.509,textmining=0.509,https://string-db.org/cgi/network?identifiers=CBL%0dEPO&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CBL%20EPO,bone marrow,expressed (broadly_detected),inconclusive (Detected in some),discordant,Only StringDB reports evidence; the other source does not.
FANCA,RAD51C,True,True,True,0.819,textmining=0.807; coexpression=0.099,https://string-db.org/cgi/network?identifiers=FANCA%0dRAD51C&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCA%20RAD51C,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DNMT3A,IKZF1,True,True,True,0.515,textmining=0.501; experimental=0.066; coexpression=0.044,https://string-db.org/cgi/network?identifiers=DNMT3A%0dIKZF1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DNMT3A%20IKZF1,bone marrow,expressed (broadly_detected),expressed (nTPM=160.4),discordant,Only StringDB reports evidence; the other source does not.
NOP10,RPS10,True,True,True,0.443,coexpression=0.271; textmining=0.267,https://string-db.org/cgi/network?identifiers=NOP10%0dRPS10&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NOP10%20RPS10,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RAD51,RNF168,True,True,True,0.668,textmining=0.663; coexpression=0.055,https://string-db.org/cgi/network?identifiers=RAD51%0dRNF168&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RAD51%20RNF168,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCG,MAD2L2,True,True,True,0.6,textmining=0.580; coexpression=0.088,https://string-db.org/cgi/network?identifiers=FANCG%0dMAD2L2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCG%20MAD2L2,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL35A,SRP54,True,True,True,0.896,experimental=0.882; coexpression=0.126; textmining=0.072,https://string-db.org/cgi/network?identifiers=RPL35A%0dSRP54&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPL35A%20SRP54,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
G6PC3,JAGN1,True,True,True,0.553,textmining=0.553,https://string-db.org/cgi/network?identifiers=G6PC3%0dJAGN1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=G6PC3%20JAGN1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
DKC1,FANCD2,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=DKC1%0dFANCD2&species=9606,not_applicable,True,1,Affinity Capture-MS,31180492,https://thebiogrid.org/search.php?search=DKC1%20FANCD2,bone marrow,expressed (broadly_detected),expressed (nTPM=12.8),discordant,Only BioGRID reports evidence; the other source does not.
CLPB,HYOU1,True,True,True,0.725,coexpression=0.411; experimental=0.402; textmining=0.267; neighborhood=0.059,https://string-db.org/cgi/network?identifiers=CLPB%0dHYOU1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CLPB%20HYOU1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPS19,SRP72,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPS19%0dSRP72&species=9606,not_applicable,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RPS19%20SRP72,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
FANCA,RPL18,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=FANCA%0dRPL18&species=9606,not_applicable,True,1,Two-hybrid,14499622,https://thebiogrid.org/search.php?search=FANCA%20RPL18,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
