gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
MAD2L2,RPS27,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=MAD2L2%0dRPS27&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,30154076,https://thebiogrid.org/search.php?search=MAD2L2%20RPS27,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
GAR1,RPL11,True,True,True,0.46,coexpression=0.309; textmining=0.176; experimental=0.128,https://string-db.org/cgi/network?identifiers=GAR1%0dRPL11&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GAR1%20RPL11,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
G6PC3,GFI1,True,True,True,0.711,textmining=0.690; curated_database=0.098; experimental=0.050,https://string-db.org/cgi/network?identifiers=G6PC3%0dGFI1&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=G6PC3%20GFI1,bone marrow,expressed (broadly_detected),expressed (nTPM=75.8),discordant,Only StringDB reports evidence; the other source does not.
RBM8A,RPS15,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RBM8A%0dRPS15&species=9606,not_applicable,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RBM8A%20RPS15,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
RPS10,SRP54,True,True,True,0.843,experimental=0.829; textmining=0.097; coexpression=0.067,https://string-db.org/cgi/network?identifiers=RPS10%0dSRP54&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=RPS10%20SRP54,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCD2,FANCE,True,True,True,0.999,experimental=0.971; textmining=0.970; curated_database=0.900; coexpression=0.064,https://string-db.org/cgi/network?identifiers=FANCD2%0dFANCE&species=9606,high,True,15,Affinity Capture-Western; Co-purification; Two-hybrid,12093742; 12649160; 15115758; 16127171; 16513431; 17308347; 19704162; 23303816; 24451376; 26277624,https://thebiogrid.org/search.php?search=FANCD2%20FANCE,bone marrow,expressed (nTPM=12.8),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
NOP10,TSR2,True,True,True,0.453,coexpression=0.306; textmining=0.243,https://string-db.org/cgi/network?identifiers=NOP10%0dTSR2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NOP10%20TSR2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCG,UBE2T,True,True,True,0.996,textmining=0.858; experimental=0.852; curated_database=0.800; coexpression=0.163,https://string-db.org/cgi/network?identifiers=FANCG%0dUBE2T&species=9606,high,True,1,Affinity Capture-MS,33542213,https://thebiogrid.org/search.php?search=FANCG%20UBE2T,bone marrow,inconclusive (Detected in many),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
BRCA2,FANCG,True,True,True,0.997,textmining=0.990; experimental=0.735; coexpression=0.067,https://string-db.org/cgi/network?identifiers=BRCA2%0dFANCG&species=9606,none,True,8,Affinity Capture-Western; Two-hybrid,12915460; 16621732; 18212739; 20450923,https://thebiogrid.org/search.php?search=BRCA2%20FANCG,bone marrow,expressed (nTPM=5.2),inconclusive (Detected in many),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RAD51C,XRCC2,True,True,True,0.999,textmining=0.989; curated_database=0.900; experimental=0.855; coexpression=0.158,https://string-db.org/cgi/network?identifiers=RAD51C%0dXRCC2&species=9606,high,True,8,Affinity Capture-MS; Affinity Capture-Western,11744692; 11751635; 11842112; 11842113; 24141787; 26186194; 28514442; 33961781,https://thebiogrid.org/search.php?search=RAD51C%20XRCC2,bone marrow,expressed (broadly_detected),expressed (nTPM=5.5),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
DDX41,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=DDX41%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=DDX41%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
RPS15,RPS27,True,True,True,0.999,experimental=0.979; coexpression=0.961; curated_database=0.900; textmining=0.659,https://string-db.org/cgi/network?identifiers=RPS15%0dRPS27&species=9606,high,True,2,Co-fractionation,26344197; 35831314,https://thebiogrid.org/search.php?search=RPS15%20RPS27,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
RPL9,RPS15,True,True,True,0.999,experimental=0.992; coexpression=0.981; textmining=0.663; neighborhood=0.120,https://string-db.org/cgi/network?identifiers=RPL9%0dRPS15&species=9606,none,True,1,Co-fractionation,22939629,https://thebiogrid.org/search.php?search=RPL9%20RPS15,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
KRAS,NHP2,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=KRAS%0dNHP2&species=9606,not_applicable,True,2,Negative Genetic; Synthetic Lethality,28700943; 34373451,https://thebiogrid.org/search.php?search=KRAS%20NHP2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
SLC19A2,YARS2,True,True,True,0.403,textmining=0.398; coexpression=0.049,https://string-db.org/cgi/network?identifiers=SLC19A2%0dYARS2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=SLC19A2%20YARS2,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
PTPN11,RPS27A,True,True,True,0.517,curated_database=0.500; textmining=0.057; coexpression=0.054; experimental=0.045,https://string-db.org/cgi/network?identifiers=PTPN11%0dRPS27A&species=9606,high,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=PTPN11%20RPS27A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
FANCI,UBE2T,True,True,True,0.997,curated_database=0.900; textmining=0.846; experimental=0.800; coexpression=0.346,https://string-db.org/cgi/network?identifiers=FANCI%0dUBE2T&species=9606,high,True,1,Affinity Capture-Western,35703356,https://thebiogrid.org/search.php?search=FANCI%20UBE2T,bone marrow,expressed (nTPM=28.0),inconclusive (Detected in many),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
NHP2,RPL5,True,True,True,0.915,coexpression=0.640; experimental=0.534; textmining=0.530; neighborhood=0.057,https://string-db.org/cgi/network?identifiers=NHP2%0dRPL5&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NHP2%20RPL5,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
ETV6,SAMD9L,True,True,True,0.412,textmining=0.369; coexpression=0.107,https://string-db.org/cgi/network?identifiers=ETV6%0dSAMD9L&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=ETV6%20SAMD9L,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
RPL35A,STK4,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=RPL35A%0dSTK4&species=9606,not_applicable,True,2,Affinity Capture-MS; Proximity Label-MS,39664081,https://thebiogrid.org/search.php?search=RPL35A%20STK4,bone marrow,expressed (broadly_detected),expressed (nTPM=46.4),discordant,Only BioGRID reports evidence; the other source does not.
NSMCE3,STN1,True,True,True,0.641,experimental=0.625; coexpression=0.084,https://string-db.org/cgi/network?identifiers=NSMCE3%0dSTN1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NSMCE3%20STN1,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
NOP10,RPL35A,True,True,True,0.475,textmining=0.324; coexpression=0.254,https://string-db.org/cgi/network?identifiers=NOP10%0dRPL35A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=NOP10%20RPL35A,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
